date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,47.0,47.0,47.0,47.0,47.0
2018-01-14,19.0,19.0,19.0,19.0,19.0
2018-01-21,50.0,50.0,50.0,50.0,50.0
2018-01-28,18.0,18.0,18.0,18.0,18.0
2018-02-04,28.0,28.0,28.0,28.0,28.0
2018-02-11,42.0,42.0,42.0,42.0,42.0
2018-02-18,56.0,56.0,56.0,56.0,56.0
2018-02-25,14.0,14.0,14.0,14.0,14.0
2018-03-04,36.0,36.0,36.0,36.0,36.0
2018-03-11,31.0,31.0,31.0,31.0,31.0
2018-03-18,32.0,32.0,32.0,32.0,32.0
2018-03-25,35.0,35.0,35.0,35.0,35.0
2018-04-01,47.0,47.0,47.0,47.0,47.0
2018-04-08,14.0,14.0,14.0,14.0,14.0
2018-04-15,54.0,54.0,54.0,54.0,54.0
2018-04-22,45.0,45.0,45.0,45.0,45.0
2018-04-29,24.0,24.0,24.0,24.0,24.0
2018-05-06,34.0,34.0,34.0,34.0,34.0
2018-05-13,8.0,8.0,8.0,8.0,8.0
2018-05-20,29.0,29.0,29.0,29.0,29.0
2018-05-27,25.0,25.0,25.0,25.0,25.0
2018-06-03,25.0,25.0,25.0,25.0,25.0
2018-06-10,0.0,0.0,0.0,0.0,0.0
2018-06-17,45.0,45.0,45.0,45.0,45.0
2018-06-24,36.0,36.0,36.0,36.0,36.0
2018-07-01,12.0,12.0,12.0,12.0,12.0
2018-07-08,12.0,12.0,12.0,12.0,12.0
2018-07-15,21.0,21.0,21.0,21.0,21.0
2018-07-22,24.0,24.0,24.0,24.0,24.0
2018-07-29,34.0,34.0,34.0,34.0,34.0
2018-08-05,12.0,12.0,12.0,12.0,12.0
2018-08-12,16.0,16.0,16.0,16.0,16.0
2018-08-19,32.0,32.0,32.0,32.0,32.0
2018-08-26,29.0,29.0,29.0,29.0,29.0
2018-09-02,30.0,30.0,30.0,30.0,30.0
2018-09-09,22.0,22.0,22.0,22.0,22.0
2018-09-16,49.0,49.0,49.0,49.0,49.0
2018-09-23,40.0,40.0,40.0,40.0,40.0
2018-09-30,24.0,24.0,24.0,24.0,24.0
