date,2020-01-01,2021-01-01,2022-01-01
2018-12-30,36.0,34.0,22
2019-01-06,61.0,59.0,38
2019-01-13,100.0,96.0,63
2019-01-20,44.0,42.0,27
2019-01-27,0.0,0.0,0
2019-02-03,0.0,0.0,0
2019-02-10,23.0,22.0,14
2019-02-17,22.0,21.0,14
2019-02-24,0.0,0.0,0
2019-03-03,31.0,30.0,20
2019-03-10,33.0,32.0,21
2019-03-17,0.0,0.0,0
2019-03-24,0.0,0.0,0
2019-03-31,26.0,25.0,16
2019-04-07,33.0,32.0,21
2019-04-14,0.0,0.0,0
2019-04-21,0.0,0.0,0
2019-04-28,23.0,22.0,15
2019-05-05,0.0,0.0,0
2019-05-12,26.0,25.0,17
2019-05-19,28.0,27.0,17
2019-05-26,0.0,0.0,0
2019-06-02,33.0,32.0,21
2019-06-09,24.0,23.0,15
2019-06-16,0.0,0.0,0
2019-06-23,36.0,34.0,22
2019-06-30,36.0,34.0,22
2019-07-07,36.0,35.0,23
2019-07-14,29.0,27.0,18
2019-07-21,45.0,43.0,28
2019-07-28,31.0,30.0,20
2019-08-04,69.0,66.0,43
2019-08-11,47.0,45.0,29
2019-08-18,30.0,28.0,19
2019-08-25,26.0,25.0,16
2019-09-01,32.0,31.0,20
2019-09-08,34.0,32.0,21
2019-09-15,48.0,46.0,30
2019-09-22,34.0,33.0,21
2019-09-29,30.0,29.0,19
2019-10-06,0.0,0.0,0
2019-10-13,30.0,29.0,19
2019-10-20,24.0,23.0,15
2019-10-27,22.0,21.0,14
2019-11-03,40.0,38.0,25
2019-11-10,29.0,28.0,18
2019-11-17,57.0,55.0,36
2019-11-24,0.0,0.0,0
2019-12-01,30.0,29.0,19
2019-12-08,27.0,26.0,17
2019-12-15,25.0,24.0,16
2019-12-22,0.0,0.0,0
2019-12-29,32.0,31.0,20
2020-01-05,,24.0,16
2020-01-12,,30.0,20
2020-01-19,,21.0,14
2020-01-26,,0.0,0
2020-02-02,,36.0,24
2020-02-09,,19.0,13
2020-02-16,,22.0,15
2020-02-23,,23.0,15
2020-03-01,,0.0,0
2020-03-08,,21.0,14
2020-03-15,,69.0,45
2020-03-22,,77.0,51
2020-03-29,,83.0,54
2020-04-05,,100.0,66
2020-04-12,,85.0,56
2020-04-19,,54.0,35
2020-04-26,,48.0,32
2020-05-03,,43.0,29
2020-05-10,,77.0,51
2020-05-17,,71.0,46
2020-05-24,,53.0,34
2020-05-31,,62.0,40
2020-06-07,,56.0,37
2020-06-14,,49.0,32
2020-06-21,,39.0,26
2020-06-28,,71.0,46
2020-07-05,,55.0,36
2020-07-12,,63.0,42
2020-07-19,,43.0,28
2020-07-26,,53.0,35
2020-08-02,,45.0,29
2020-08-09,,70.0,46
2020-08-16,,37.0,24
2020-08-23,,37.0,24
2020-08-30,,53.0,35
2020-09-06,,29.0,19
2020-09-13,,23.0,15
2020-09-20,,38.0,25
2020-09-27,,42.0,27
2020-10-04,,43.0,28
2020-10-11,,42.0,27
2020-10-18,,56.0,37
2020-10-25,,53.0,35
2020-11-01,,39.0,26
2020-11-08,,56.0,37
2020-11-15,,63.0,41
2020-11-22,,29.0,19
2020-11-29,,55.0,36
2020-12-06,,36.0,23
2020-12-13,,30.0,20
2020-12-20,,23.0,15
2020-12-27,,61.0,40
2021-01-03,,,32
2021-01-10,,,42
2021-01-17,,,38
2021-01-24,,,36
2021-01-31,,,28
2021-02-07,,,34
2021-02-14,,,29
2021-02-21,,,62
2021-02-28,,,51
2021-03-07,,,40
2021-03-14,,,25
2021-03-21,,,19
2021-03-28,,,33
2021-04-04,,,27
2021-04-11,,,35
2021-04-18,,,29
2021-04-25,,,24
2021-05-02,,,26
2021-05-09,,,28
2021-05-16,,,19
2021-05-23,,,100
2021-05-30,,,54
2021-06-06,,,43
2021-06-13,,,27
2021-06-20,,,38
2021-06-27,,,34
2021-07-04,,,34
2021-07-11,,,45
2021-07-18,,,35
2021-07-25,,,36
2021-08-01,,,38
2021-08-08,,,47
2021-08-15,,,54
2021-08-22,,,35
2021-08-29,,,48
2021-09-05,,,38
2021-09-12,,,37
2021-09-19,,,29
2021-09-26,,,44
2021-10-03,,,37
2021-10-10,,,26
2021-10-17,,,33
2021-10-24,,,33
2021-10-31,,,36
2021-11-07,,,27
2021-11-14,,,32
2021-11-21,,,0
2021-11-28,,,46
2021-12-05,,,18
2021-12-12,,,29
2021-12-19,,,18
2021-12-26,,,27
